1519960000000;82;840;0
1519962395282;83;720;0,84
1519962395985;82;760;1,56
1519962396691;82;700;2,32
1519962397488;82;730;3,02
1519962398290;81;770;3,75
1519962399192;81;810;4,52
1519962399999;81;890;5,33
1519962400894;80;850;6,22
1519962401695;80;830;7,07
1519962402603;79;840;7,9
1519962403779;79;850;8,74
1519962404312;78;860;9,59
1519962405108;77;840;10,45
1519962405908;76;800;11,29
1519962406606;75;800;12,09
1519962407407;75;780;12,89
1519962408309;75;800;13,67
1519962409117;75;820;14,47
1519962409915;75;840;15,29
1519962410813;74;850;16,13
1519962411618;74;840;16,98
1519962412521;74;830;17,82
1519962413323;73;830;18,65
1519962414124;73;840;19,48
1519962415025;72;830;20,32
1519962415829;72;850;21,15
1519962416730;71;850;22
1519962417532;71;830;22,85
1519962418519;71;830;23,68
1519962419133;71;840;24,51
1519962420036;71;820;25,35
1519962420837;71;820;26,17
1519962421637;71;810;26,99
1519962422341;72;810;27,8
1519962423141;72;770;28,61
1519962423940;72;780;29,38
1519962424849;73;810;30,16
1519962425646;73;820;30,97
1519962426455;73;830;31,79
1519962427351;73;800;32,62
1519962428155;73;860;33,42
1519962428855;73;820;34,28
1519962429553;73;750;35,1
1519962430259;74;720;35,85
1519962431060;74;710;36,57
1519962431767;75;700;37,28
1519962432561;75;730;37,98
1519962433248;76;780;38,71
1519962434166;76;600;39,49
1519962434870;76;950;40,09
1519962435673;76;820;41,04
1519962436475;76;810;41,86
1519962437278;76;790;42,67
1519962438078;76;780;43,46
1519962438781;76;770;44,24
1519962439477;76;720;45,01
1519962440279;76;740;45,73
1519962441090;77;750;46,47
1519962441888;77;800;47,22
1519962442787;77;830;48,02
1519962443591;76;850;48,85
1519962444494;76;850;49,7
1519962445290;76;840;50,55
1519962446098;75;820;51,39
1519962446904;75;800;52,21
1519962447603;75;780;53,01
1519962448403;75;760;53,79
1519962449199;75;790;54,55
1519962450003;75;790;55,34
1519962451710;76;1190;56,13
1519962452512;75;1340;57,32
1519962453314;75;780;58,66
1519962454016;75;740;59,44
1519962454712;75;720;60,18
1519962455416;76;720;60,9
1519962456123;77;710;61,62
1519962456918;77;730;62,33
1519962457723;78;740;63,06
1519962458421;78;790;63,8
1519962459224;78;780;64,59
1519962460026;78;780;65,37
1519962460832;78;780;66,15
1519962461530;78;750;66,93
1519962462835;78;780;67,68
1519962463536;77;1270;68,46
1519962464137;77;700;69,73
1519962465038;77;580;70,43
1519962465940;77;930;71,01
1519962467748;77;1720;71,94
1519962468444;77;880;73,66
1519962469248;77;820;74,54
1519962470052;77;810;75,36
1519962470858;76;780;76,17
1519962471659;76;800;76,95
1519962472458;76;780;77,75
1519962473155;76;770;78,53
1519962473961;76;780;79,3
1519962474759;76;750;80,08
1519962475566;76;780;80,83
1519962476373;76;830;81,61
1519962477165;76;810;82,44
1519962477972;76;790;83,25
1519962478769;75;800;84,04
1519962479572;75;820;84,84
1519962480475;75;790;85,66
1519962481285;75;830;86,45
1519962482078;75;790;87,28
1519962482883;75;830;88,07
1519962483680;74;750;88,9
1519962484385;74;870;89,65
1519962485186;75;770;90,52
1519962485989;75;760;91,29
1519962486791;75;780;92,05
1519962487491;75;810;92,83
1519962488294;76;740;93,64
1519962488994;76;740;94,38
1519962489797;76;750;95,12
1519962490497;77;740;95,87
1519962491205;77;720;96,61
1519962491930;78;720;97,33
1519962492703;78;720;98,05
1519962493412;79;740;98,77
1519962494106;79;700;99,51
1519962494908;79;730;100,21
1519962495714;79;800;100,94
1519962496613;79;810;101,74
1519962497316;78;840;102,55
1519962498016;78;740;103,39
1519962499121;77;660;104,13
1519962499827;77;1060;104,79
1519962500524;77;740;105,85
1519962501226;77;760;106,59
1519962502126;78;650;107,35
1519962503027;77;880;108
1519962504034;76;940;108,88
1519962505034;76;970;109,82
1519962506338;76;1020;110,79
1519962507739;76;1340;111,81
1519962508545;76;1380;113,15
1519962509445;75;830;114,53
1519962510247;73;830;115,36
1519962511149;73;840;116,19
1519962511951;72;880;117,03
1519962512852;72;830;117,91
1519962513758;72;640;118,74
1519962514756;71;1190;119,38
1519962515562;71;770;120,57
1519962516361;70;930;121,34
1519962517268;70;890;122,27
1519962518166;70;880;123,16
1519962519174;69;930;124,04
1519962519975;69;910;124,97
1519962520775;69;840;125,88
1519962522013;69;810;126,72
1519962522479;69;840;127,53
1519962523379;69;840;128,37
1519962524281;69;900;129,21
1519962525185;69;920;130,11
1519962526185;69;910;131,03
1519962527089;68;950;131,94
1519962527995;68;900;132,89
1519962528795;68;900;133,79
1519962529695;68;870;134,69
1519962530496;68;860;135,56
1519962531298;68;830;136,42
1519962532203;68;820;137,25
1519962533003;68;810;138,07
1519962533904;69;860;138,88
1519962534815;69;890;139,74
1519962535713;69;890;140,63
1519962536688;69;890;141,52
1519962537516;68;930;142,41
1519962538115;68;910;143,34
1519962539220;68;860;144,25
1519962539925;69;750;145,11
1519962540721;69;820;145,86
1519962541524;69;770;146,68
1519962542230;70;750;147,45
1519962543126;70;770;148,2
1519962544031;71;820;148,97
1519962544936;71;900;149,79
1519962545932;70;960;150,69
1519962546837;70;940;151,65
1519962547843;69;960;152,59
1519962548638;69;930;153,55
1519962549541;68;860;154,48
1519962550345;68;850;155,34
1519962551555;68;820;156,19
1519962551950;69;780;157,01
1519962552754;70;810;157,79
1519962553698;70;830;158,6
1519962554557;70;860;159,43
1519962555460;70;890;160,29
1519962556363;70;970;161,18
1519962557264;69;910;162,15
1519962558162;69;890;163,06
1519962559063;69;900;163,95
1519962559872;68;870;164,85
1519962560771;68;850;165,72
1519962561572;68;850;166,57
1519962562474;68;850;167,42
1519962563276;69;830;168,27
1519962564076;69;800;169,1
1519962564879;70;810;169,9
1519962565831;70;850;170,71
1519962566683;70;830;171,56
1519962567790;70;970;172,39
1519962568687;69;1020;173,36
1519962569696;69;980;174,38
1519962570689;68;970;175,36
1519962571598;68;1010;176,33
1519962572498;68;900;177,34
1519962573397;67;930;178,24
1519962574201;67;860;179,17
1519962575106;67;840;180,03
1519962575902;67;830;180,87
1519962576807;68;850;181,7
1519962577609;68;850;182,55
1519962578511;68;860;183,4
1519962579412;69;870;184,26
1519962580313;68;880;185,13
1519962581160;68;860;186,01
1519962581920;69;820;186,87
1519962582719;69;840;187,69
1519962583423;70;780;188,53
1519962584229;70;730;189,31
1519962585026;71;750;190,04
1519962585834;71;800;190,79
1519962586726;71;860;191,59
1519962587531;71;870;192,45
1519962588431;71;850;193,32
1519962589241;71;850;194,17
1519962590046;71;810;195,02
1519962590838;72;790;195,83
1519962591641;72;780;196,62
1519962592345;72;800;197,4
1519962593146;73;720;198,2
1519962593953;73;770;198,92
1519962594746;73;790;199,69
1519962595972;74;810;200,48
1519962596365;74;840;201,29
1519962597159;74;820;202,13
1519962597959;74;830;202,95
1519962598759;74;790;203,78
1519962599560;74;800;204,57
1519962600362;74;770;205,37
1519962601164;74;800;206,14
1519962602068;74;830;206,94
1519962602868;74;840;207,77
1519962603771;74;840;208,61
1519962604574;73;850;209,45
1519962605475;73;840;210,3
1519962606277;73;850;211,14
1519962607078;73;810;211,99
1519962607792;73;790;212,8
1519962608480;73;750;213,59
1519962609282;74;730;214,34
1519962610209;74;770;215,07
1519962611219;74;880;215,84
1519962612190;73;970;216,72
1519962613195;73;980;217,69
1519962614092;73;1020;218,67
1519962615094;72;960;219,69
1519962615997;71;940;220,65
1519962616611;71;910;221,59
1519962618400;71;1590;222,5
1519962619209;71;850;224,09
1519962619906;72;800;224,94
1519962620610;73;670;225,74
1519962621306;74;700;226,41
1519962622118;74;750;227,11
1519962622920;75;750;227,86
1519962623813;75;870;228,61
1519962624719;75;830;229,48
1519962625516;74;880;230,31
1519962626419;73;870;231,19
1519962627221;73;860;232,06
1519962628023;72;830;232,92
1519962628725;73;820;233,75
1519962629526;73;770;234,57
1519962630238;74;720;235,34
1519962630932;74;690;236,06
1519962631738;75;720;236,75
1519962632734;75;780;237,47
1519962633642;75;930;238,25
1519962634640;74;950;239,18
1519962635541;74;970;240,13
1519962636543;73;970;241,1
1519962637466;73;960;242,07
1519962638246;72;900;243,03
1519962639149;71;850;243,93
1519962640194;71;850;244,78
1519962640653;71;750;245,63
1519962641355;72;720;246,38
1519962642860;73;690;247,1
1519962643564;73;1560;247,79
1519962644760;73;1010;249,35
1519962645674;73;830;250,36
1519962646671;72;920;251,19
1519962647671;72;970;252,11
1519962648672;71;1060;253,08
1519962649580;71;920;254,14
1519962650386;70;930;255,06
1519962651286;70;850;255,99
1519962652082;70;860;256,84
1519962652981;70;820;257,7
1519962653887;70;930;258,52
1519962654938;70;870;259,45
1519962656189;70;940;260,32
1519962657403;70;1300;261,26
1519962658292;70;1320;262,56
1519962659092;70;870;263,88
